,x,y,z
216,2,16,128.61375
217,2,17,131.41359375
218,2,18,134.13796875000003
219,2,19,137.06921875
220,2,20,139.9709375
221,2,21,142.5975
222,2,22,145.22921875
223,2,23,147.36921875000002
224,2,24,149.74703125
225,2,25,152.090625
226,2,26,154.57046874999997
227,2,27,155.92328124999997
228,2,28,157.19109375
229,2,29,158.7275
230,2,30,160.295
231,2,31,161.80734375
232,2,32,163.26437500000003
233,2,33,164.73312500000003
234,2,34,166.05046875
235,2,35,167.10703125
236,2,36,167.89437500000003
237,2,37,168.52234375
238,2,38,168.50671875
239,2,39,168.10984375
240,2,40,167.49515625000004
241,2,41,166.72578125
242,2,42,165.96500000000003
243,2,43,165.38
244,2,44,164.85890625000002
245,2,45,164.32375000000002
246,2,46,163.760625
247,2,47,163.21546875
248,2,48,162.546875
249,2,49,161.65796875
250,2,50,160.59625
251,2,51,159.55062500000003
252,2,52,157.89015625
253,2,53,155.85546875
254,2,54,153.41515625
255,2,55,150.82515625
256,2,56,148.4521875
257,2,57,145.8525
258,2,58,143.0309375
259,2,59,140.40750000000003
260,2,60,141.39515624999999
261,2,61,144.83953125000002
262,2,62,149.09203125
263,2,63,154.11421875000002
264,2,64,159.03796875
265,2,65,163.50421874999998
266,2,66,167.2515625
267,2,67,170.88625
268,2,68,174.07453125
269,2,69,176.75093750000002
270,2,70,179.45000000000002
271,2,71,182.09156250000004
272,2,72,184.93531249999998
273,2,73,187.53265625
274,2,74,189.75218750000002
275,2,75,191.73921875
276,2,76,193.44609375
277,2,77,194.62546874999998
278,2,78,196.33734374999997
279,2,79,198.38125
280,2,80,199.68265625
281,2,81,201.04874999999998
282,2,82,202.32328125000004
283,2,83,203.8678125
284,2,84,205.2265625
285,2,85,206.6384375
286,2,86,207.4153125
287,2,87,208.28796874999998
288,2,88,209.12953125
289,2,89,209.73062500000003
290,2,90,210.30953125
291,2,91,210.90125
292,2,92,211.33984375
293,2,93,211.20531249999996
294,2,94,210.95671875
295,2,95,210.80546875
296,2,96,210.5203125
297,2,97,209.73359375
298,2,98,208.46171875
299,2,99,206.9178125
300,3,0,144.81578125
301,3,1,142.85234375
302,3,2,140.2478125
303,3,3,136.74296875000002
304,3,4,132.60671874999997
305,3,5,130.49890625
306,3,6,131.90937499999998
307,3,7,132.794375
308,3,8,132.39015625
309,3,9,131.65265624999998
310,3,10,130.48953124999997
311,3,11,128.77906249999998
312,3,12,126.30078125
313,3,13,123.73453125
314,3,14,124.54968749999999
315,3,15,127.68984375
316,3,16,131.49124999999998
317,3,17,134.70718749999997
318,3,18,137.71406249999998
319,3,19,140.70875
320,3,20,143.66250000000002
321,3,21,146.27499999999998
322,3,22,148.2571875
323,3,23,150.17749999999998
324,3,24,152.01046875
325,3,25,154.22796875
326,3,26,155.38375000000002
327,3,27,156.49171875
328,3,28,157.819375
329,3,29,159.2175
330,3,30,160.5509375
331,3,31,161.91984374999998
332,3,32,163.3103125
333,3,33,164.64187500000003
334,3,34,165.86765624999998
335,3,35,166.85781250000002
336,3,36,167.63078124999998
337,3,37,168.01859374999998
338,3,38,167.72921875
339,3,39,167.13140625
340,3,40,166.43796874999998
341,3,41,165.6134375
342,3,42,164.7528125
343,3,43,164.0715625
344,3,44,163.505625
345,3,45,162.90703125
346,3,46,162.35140625000003
347,3,47,161.663125
348,3,48,160.98093749999998
349,3,49,160.18031249999999
350,3,50,159.26890625000001
351,3,51,158.106875
352,3,52,156.37578125
353,3,53,154.33078125
354,3,54,152.27546875
355,3,55,150.05843750000003
356,3,56,148.05328125000003
357,3,57,145.81265625
358,3,58,143.60328125
359,3,59,141.709375
360,3,60,139.52343749999997
361,3,61,142.9821875
362,3,62,147.86359375
363,3,63,152.66046874999998
364,3,64,157.94171875
365,3,65,162.6465625
366,3,66,167.07046874999997
367,3,67,170.70515625
368,3,68,173.66828125
369,3,69,176.34515625
370,3,70,178.95046875000003
371,3,71,181.67046875000003
372,3,72,184.76703125000003
373,3,73,187.60218749999996
374,3,74,189.9659375
375,3,75,192.08953125
376,3,76,193.50562499999998
377,3,77,194.89703125
